City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,80.85,few clouds,-20.3428,57.7575,Casa Tia Villa
9,Contamana,PE,72.36,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
14,Namibe,AO,71.96,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
25,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
26,Muisne,EC,76.98,overcast clouds,0.6,-80.0333,Quinta Samay
27,Pericos,MX,71.51,clear sky,25.05,-107.7,CASA AARON CAMACHO VILLARREAL
30,Hithadhoo,MV,85.19,broken clouds,-0.6,73.0833,Scoop Guest House
37,Mahebourg,MU,80.89,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
38,Rikitea,PF,76.91,overcast clouds,-23.1203,-134.9692,People ThankYou
44,Sao Miguel Do Araguaia,BR,70.95,clear sky,-13.275,-50.1628,Hotel Executivo Palace
45,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Carnarvon,AU,87.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
60,Atuona,PF,79.14,overcast clouds,-9.8,-139.0333,Villa Enata
64,Bowen,AU,79.02,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
65,Xichang,CN,75.27,broken clouds,27.8964,102.2634,Xichang ibis Hotel
67,Bubaque,GW,76.64,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
69,Souillac,MU,80.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
70,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
71,Natal,BR,73.62,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
74,Tual,ID,84.24,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
76,Gorontalo,ID,81.59,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
80,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
85,Tubalan,PH,83.91,light rain,6.495,125.5661,Maldives tubalan malita davao occidental
87,Puerto Ayora,EC,71.22,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
88,Eyl,SO,85.73,broken clouds,7.9803,49.8164,Amiin Hotel
90,Kieta,PG,83.57,light rain,-6.2167,155.6333,Uruna Bay Retreat
92,Georgetown,MY,89.53,scattered clouds,5.4112,100.3354,Cititel Penang
96,San Juan Bautista,PE,71.31,scattered clouds,-14.0108,-75.7358,Hotel Las Dunas
104,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
105,Mecca,SA,89.13,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
108,Atambua,ID,84.87,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
110,Kloulklubed,PW,81.1,few clouds,7.0419,134.2556,Storyboard Beach Resort
111,Victoria,HK,82.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
112,Auki,SB,82.08,overcast clouds,-8.7676,160.7034,Auki Motel
120,Tecoanapa,MX,79.84,clear sky,16.5167,-98.75,Hotel Manglares
123,Buala,SB,82.65,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
125,Ambilobe,MG,76.82,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
126,Russell,US,70.88,broken clouds,32.3502,-85.1999,Macs
128,Cabo San Lucas,MX,76.3,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
129,Ixtapa,MX,74.23,clear sky,20.7,-105.2,hotel la terminal
130,Faanui,PF,81.37,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
132,Oranjestad,AW,80.55,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
133,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
135,Maine-Soroa,NE,84.47,broken clouds,13.2114,12.0241,Complexe
137,Cape Canaveral,US,75.02,few clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
139,Takoradi,GH,79.23,overcast clouds,4.8845,-1.7554,Raybow International Hotel
140,Baglung,NP,87.39,clear sky,28.2719,83.5898,Hotel Peace Palace
142,Gizo,SB,84.54,scattered clouds,-8.103,156.8419,Imagination Island
143,Arraial Do Cabo,BR,74.95,clear sky,-22.9661,-42.0278,Pousada Porto Praia
145,Pocone,BR,71.76,clear sky,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
155,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
159,Sokoni,TZ,78.84,light rain,-6.4333,39.55,Ujamaa Beach Resort
161,Mount Isa,AU,89.37,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
163,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
167,Touros,BR,74.71,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
169,Beberibe,BR,76.24,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
170,Butaritari,KI,81.45,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
176,Bosaso,SO,87.78,clear sky,11.2842,49.1816,Red Sea Hotel
178,Piacabucu,BR,73.85,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
183,Tres Picos,MX,81.12,broken clouds,15.8667,-93.5333,Tres picos Chiapas
184,Karatau,KZ,80.04,few clouds,43.1667,70.4667,Baza Zika
185,Gramalote,CO,74.03,overcast clouds,7.8875,-72.7975,Villa Gabriela
187,Pochutla,MX,81.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
188,Limon,CR,76.84,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
190,Bontang,ID,85.3,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
191,Pokhara,NP,88.79,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
192,Hilo,US,74.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
193,Wanning,CN,77.83,overcast clouds,18.8003,110.3967,Paradise Hotel
194,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
195,Padang,ID,87.85,broken clouds,-0.9492,100.3543,Mercure Padang
