,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bambous Virieux,MU,-20.3428,57.7575,80.85,65,20,11.5,few clouds
1,Mayo,US,38.8876,-76.5119,51.94,77,0,1.01,clear sky
2,Zarechnyy,RU,53.2036,45.1923,42.3,80,90,6.22,overcast clouds
3,Port Alfred,ZA,-33.5906,26.891,57.18,79,40,4.0,scattered clouds
4,Ushuaia,AR,-54.8,-68.3,37.06,75,0,4.61,clear sky
5,Portland,US,45.5234,-122.6762,52.45,91,100,6.91,moderate rain
6,Gualaco,HN,15.05,-86.05,68.16,90,21,2.04,few clouds
7,Sobolevo,RU,54.4299,31.8996,38.59,58,17,2.06,few clouds
8,Albany,US,42.6001,-73.9662,42.44,42,0,5.97,clear sky
9,Contamana,PE,-7.3333,-75.0167,72.36,99,100,2.1,overcast clouds
10,Smithers,CA,54.7804,-127.1743,43.12,61,100,4.61,overcast clouds
11,Sikasso,ML,10.9167,-7.0,79.93,56,70,4.74,broken clouds
12,Pangnirtung,CA,66.1451,-65.7125,1.67,88,17,8.72,few clouds
13,Babra,IN,21.85,71.3,99.1,22,0,17.29,clear sky
14,Namibe,AO,-15.1961,12.1522,71.96,78,44,3.74,scattered clouds
15,New Norfolk,AU,-42.7826,147.0587,58.91,61,45,1.99,scattered clouds
16,Wattegama,LK,6.7989,81.4808,91.65,53,34,0.4,scattered clouds
17,Ranong,TH,9.9658,98.6348,91.33,68,91,4.16,overcast clouds
18,Margate,GB,51.3813,1.3862,47.3,77,28,5.01,scattered clouds
19,Punta Arenas,CL,-53.15,-70.9167,32.11,86,0,8.05,clear sky
20,Muravlenko,RU,63.7898,74.523,25.29,77,24,10.8,few clouds
21,Fortuna,US,40.5982,-124.1573,55.65,80,100,0.0,overcast clouds
22,Port Said,EG,31.2565,32.2841,69.67,51,31,16.8,scattered clouds
23,Busselton,AU,-33.65,115.3333,67.01,53,1,4.29,clear sky
24,Petropavlovka,RU,50.6114,105.3196,59.4,37,100,5.14,light rain
25,Avarua,CK,-21.2078,-159.775,78.85,89,40,6.91,scattered clouds
26,Muisne,EC,0.6,-80.0333,76.98,85,98,4.9,overcast clouds
27,Pericos,MX,25.05,-107.7,71.51,42,7,2.01,clear sky
28,Deputatskiy,RU,69.3,139.9,22.55,80,37,4.25,scattered clouds
29,Tsiroanomandidy,MG,-18.7667,46.0333,67.73,84,5,2.17,clear sky
30,Hithadhoo,MV,-0.6,73.0833,85.19,72,58,10.0,broken clouds
31,Pimentel,PE,-6.8367,-79.9342,65.98,86,100,11.68,overcast clouds
32,Valparaiso,CL,-33.0393,-71.6273,54.48,73,0,5.75,clear sky
33,Qaanaaq,GL,77.484,-69.3632,8.56,73,62,8.21,broken clouds
34,Jamestown,US,42.097,-79.2353,44.24,54,0,4.61,clear sky
35,Finnsnes,NO,69.2296,17.9811,30.81,90,99,3.31,light snow
